nombre,url,direccion,ciudad,provincia,telefono,productos
Bristol M S ,https://ar.prvademecum.com/laboratorio/bristol-m-s--48/,Av. Libertador 101 6º,V. López,Bs. As.,5198-8400,ABRAXANE; CAMZYOS; NULOJIX; OPDIVO; OPDIVO SC; OPDUALAG; ORENCIA; REBLOZYL; REVLIMID; SOTYKTU; SPRYCEL; YERVOY
Vannier S A ,https://ar.prvademecum.com/laboratorio/vannier-s-a--372/,H. Yrigoyen 2321 5to. Piso,Capital,,1553409099,"ACIDO FOLICO VANNIER 1; ACIDO FOLICO VANNIER 10; ACIDO FOLICO VANNIER 5; AMITIE; AMLODIPINA VANNIER 10; AMLODIPINA VANNIER 5; ARIPIPRAZOL VANNIER; ATENOLOL VANNIER; BECEDE 0,5; BECEDE 1; BECEDE 2MG; BIPERIDENO VANNIER; BROI; CALCIO BASE VANNIER; CARVEDILOL VANNIER"
Drog Distrisam,https://ar.prvademecum.com/laboratorio/drog-distrisam-755/,Tres Arroyos 641 P.B.,Capital,,4582-5999 4584-0458,
Gemabiotech,https://ar.prvademecum.com/laboratorio/gemabiotech-924/,Av. Sgo. My. Cayetano Beliera 3025,Pilar,Bs. As.,0230 4385600 - 15 23107745,"ALBUTEIN 20%; ANFOTAR LIPOSOMAL; ATENFE; ENERCEPTAN; ENERGAVIT; FANHDI; FOLITIME; GRININE; HEMASTIM P; LIBENDE; LUTRATE 22,5; LUTRATE 3,75; MODISMUNE LP; NEUTROPINE; PEG NEUTROPINE"
Rigecin,https://ar.prvademecum.com/laboratorio/rigecin-246/,Cachi 1204,,Capital federal,4911-7274/9771,
Rossmore Pharma,https://ar.prvademecum.com/laboratorio/rossmore-pharma-858/,José Cubas 3351,Capital,,4574-4455 / 4477,ADIKAN; DOMEKA; DOSNE; DRIMAVIN; DUNLEY; ESIEN; NEOTINA; SINASTAL; TANESA; URSOTOP
Denver Farma,https://ar.prvademecum.com/laboratorio/denver-farma-367/,Natalio Querido 2285,Munro,Bs. As.,4756-5436 / 5295 - 4762 / 3877,"ALIVIAFLEB 500; ALIVIALUX; ALIVIAMAX; ALIVIAPRES; ALIVIATOS; ALPRAZOLAM DENVER FARMA 0,5; ALPRAZOLAM DENVER FARMA 1; ALPRAZOLAM DENVER FARMA 2; ANTIHEMORROIDAL DENVER FARMA; ASMABRON; ASMABRON C/CONTADOR DE DOSIS; BECIADIC; BUDESONIDA DF BRONQUIAL; BUDESONIDA DF NEBU; CARBAMAZEPINA DENVER FARMA"
Nutrivate,https://ar.prvademecum.com/laboratorio/nutrivate-1026/,Alvarado 2727,C.A.B.A.,,114302-5757,
Gasana S.R.L.,https://ar.prvademecum.com/laboratorio/gasana-131/,Sargento Cabral 1249,Ramos Mejía,Bs. As.,11 4658-9376,
Celina,https://ar.prvademecum.com/laboratorio/celina-426/,Charrúa 3124,Capital,,4918-4932,
Vsa Alta Compl ,https://ar.prvademecum.com/laboratorio/vsa-alta-compl--1021/,Ernesto de las Carreras 2459,Beccar,Bs. As.,54 114723-4433,
Bernabo,https://ar.prvademecum.com/laboratorio/bernabo-190/,Terrada 2346,Capital,,4501-3213/18 4501-3278/79,ALELI; ALIDASE; ALIPAS; ALIPAS DUO; AMAPOLI; AMIXEN 1G; AMIXEN 500; AMIXEN 750; AMIXEN AC; AMIXEN CLAVULANICO; AMIXEN DUO; AMIXEN PLUS; ANIMEX-ON; ARTERIOSAN; ARTERIOSAN COMPUESTO
Glenmark,https://ar.prvademecum.com/laboratorio/glenmark-612/,Calle 9 Ing. Meyer Oks 593 Pque. Ind.Pilar,Pilar,Bs. As.,0230-4529555,ABIRATERONA GLENMARK; ANASTROZOL GLENMARK; BORTEZOMIB GLENMARK LPU; CAPECITABINA GLENMARK; CARBOPLATINO GLENMARK; CARFILZOMIB GLENMARK; CISPLATINO GLENMARK; DOCETAXEL GLENMARK; DOCETAXEL GLENMARK LPU; DOXORUBICINA GLENMARK; GEMCITABINA GLENMARK; IRINOTECAN GLENMARK; LETROZOL GLENMARK; OXALIPLATINO GLENMARK; PACLITAXEL GLENMARK
Ethicus,https://ar.prvademecum.com/laboratorio/ethicus-110/,Joaquín V. González 673,Godoy Cruz,MENDOZA,(0261) 4525321/4221027,
Northia,https://ar.prvademecum.com/laboratorio/northia-203/,Madero 135,Capital,,4644-0911 (Líneas rotat.) 4016-4200,ACTIRELAX NORTHIA; AMICACINA NORTHIA; AMIODARONA NORTHIA; AMPI-BIS; AMPI-BIS PLUS; ANFOTERICINA B NORTHIA; ARECAMIN; ATRACURIUM NORTHIA; BEMICIN; BIOTERAL; CEFACOLIN; CEFAZOLINA NORTHIA; CEFEPIME NORTHIA; CEFTAZIDIMA NORTHIA; CIFESPASMO
Biopas,https://ar.prvademecum.com/laboratorio/biopas-931/,Magallanes 1039,,Capital federal,11 4301 9701,ATACAND; ATACAND D; BRINTELLIX; BRIVIACT; CIRCADIN; CLOPIXOL; CLOPIXOL ACUPHASE; CLOPIXOL DEPOT; CUROSURF; EBIXA; FAMPYRA; IXEMPRA; KONAKION MM; LEXAPRO; LEXOTANIL
