nombre,url,accion_therapeutica,propiedades,indicaciones,dosificacion,reacciones_adversas,precauciones,interacciones,contraindicaciones,sobredosificacion,medicamentos
Terapia PUVA,https://ar.prvademecum.com/principio-activo/terapia-puva-4472/,,,,,,,,,,
Pirimetamina,https://ar.prvademecum.com/principio-activo/pirimetamina-2093/,Antiprotozoo.,"Estructuralmente relacionada con la trimetoprima, se une e inhibe en forma reversible a la enzima dehidrofolato reductasa del protozoo, bloquea la conversión del ácido dihidrofólico a su forma funcional, que es el ácido tetrahidrofólico. Este agota las reservas de folato -cofactor esencial en la biosíntesis de los ácidos nucleicos-, interfiriendo así en la producción de proteínas y ácido nucleico del protozoo. Ejerce su efecto en un paso inmediatamente posterior, en el que actúan las sulfamidas en la biosíntesis de folato. Cuando se administra en forma simultánea con sulfamidas ejerce un sinergismo que se atribuye a la inhibición de la producción de tetrahidrofolato en dos pasos secuenciales de su biosíntesis. Es activa frente a las formas eritrocíticas asexuales y, en menor grado, contra las formas tisulares del plasmodium por P. falciparum. No destruye los gametocitos pero detiene la esporogonia en el mosquito. Se absorbe bien por vía oral. Se une a las proteínas y se metaboliza en el hígado. Su vida media es de 96 horas y se elimina principalmente por vía renal; la excreción urinaria persiste durante 30 días o más.",Profilaxis y tratamiento del paludismo causado por especies de Plasmodium. Toxoplasmosis en asociación con una sulfamida de tipo sulfapirimidina.,"Ataque agudo de paludismo: 25mg dos veces al día, durante tres días. Quimioprofilaxis: 25mg una vez cada siete días. Toxoplasmosis: en asociación con sulfamida, de tipo sulfapirimidina, 50mg a 100mg una vez por día durante uno a tres días, de acuerdo con la tolerancia del paciente, después 25mg una vez por día durante cuatro a seis semanas. Dosis máxima para adultos: ataque agudo: hasta 75mg/día; cura supresiva: hasta 75mg semanales. Dosis pediátricas: paludismo, ataque agudo: 0,3mg/kg tres veces al día durante 3 días; quimioprofilaxis: 0,9mg/kg una vez cada 7 días; toxoplasmosis: en asociación con una sulfamida tipo sulfapirimidina: 1mg/kg dos veces por día durante 1 a 3 días, luego 0,5mg/kg dos veces por día durante 4 a 6 semanas.","Con dosis elevadas aparecen signos de deficiencia de ácido fólico: glositis atrófica, diarrea, faringitis, esofagitis, estomatitis ulcerosa, hemorragias o hematomas no habituales, discrasias sanguíneas, vómitos. Signos de sobredosis: inestabilidad, torpeza, temblores, crisis convulsivas.","Si se presenta anemia es importante tomar ácido fólico con el tratamiento. No se recomienda su uso durante el embarazo ni en el período de lactancia puesto que la pirimetamina interfiere en el metabolismo del ácido fólico. Puede haber mayor incidencia de infecciones microbianas por los efectos neutropénicos de la pirimetamina, retraso en la cicatrización y hemorragia gingival. Se puede tomar con las comidas para disminuir la irritación gástrica. El tratamiento supresor del paludismo debe comenzar 2 semanas antes de que el paciente entre en la zona de riesgo y debe continuarse durante 6 semanas después de que salga de ella.",El uso simultáneo con depresores de la médula ósea puede aumentar los efectos leucopénicos y trombocitopénicos. No se recomienda el uso de otros antagonistas de los folatos debido a la posibilidad de anemia megaloblástica.,"Se evaluará la relación riesgo-beneficio en presencia de enfermedades convulsivas, deficiencia de glucosa-6-fosfato deshidrogenasa, disfunción hepática y anemia megaloblástica.",,DARAPRIM
Sevoflurano,https://ar.prvademecum.com/principio-activo/sevoflurano-3085/,Anestésico inhalatorio.,"Es un agente anestésico líquido no inflamable que se administra por vaporización, y químicamente es un derivado fluorinado del éter metil isopropilo, que induce una pérdida de conciencia suave y rápida durante la inducción inhalatoria y una rápida recuperación después de su discontinuación. La inducción se desarrolla con un mínimo de excitación o signos de irritación respiratoria, sin evidencia de la hipersecreción traqueobronquial y estimulación del sistema nervioso central. Al igual que otros anestésicos, sevoflurano reduce la función respiratoria y la presión arterial en forma dependiente de la dosis; sin embargo, tiene mínimos efectos sobre la presión intracraneal (PIC) y preserva la respuesta del CO2. No afecta el funcionalismo renal, incluso después de una prolongada exposición a la anestesia (9 horas). Estudios preclínicos demostraron que sevoflurano no reduce la perfusión miocárdica ni los niveles de flujo sanguíneo en hígado, riñón y cerebro. En estudios clínicos se observó que el umbral arritmogénico de sevoflurano inducido por la epinefrina es comparable al de isoflurano y que la incidencia de isquemia o infarto al miocardio en pacientes de riesgo fue comparable entre sevoflurano e isoflurano. Como el sevoflurano presenta una baja solubilidad en la sangre, se piensa que las concentraciones alveolares podrían aumentar rápidamente durante la inducción y rápidamente descenderían luego de discontinuar su administración. Una mínima cantidad de sevoflurano que ingresa a la sangre es metabolizada a través del citocromo P450, dando origen a hexaflurisopropanol (HFIP), fluoruro inorgánico y dióxido de carbono. El metabolito HFIP es rápidamente conjugado con ácido glucurónico y eliminado por orina.",Inducción y mantenimiento de la anestesia general en cirugía de pacientes ambulatorios u hospitalizados.,"La premedicación debe ser seleccionada de acuerdo a la necesidad de cada paciente en forma individualizada y a discreción del anestesiólogo. La dosis para la inducción anestésica debe ser administrada y graduada hasta alcanzar el efecto deseado de acuerdo a la edad del paciente y su estado clínico. En general, concentraciones inspiradas de más de 8% de sevoflurano producen anestesia quirúrgica en menos de dos minutos en adultos y niños. La inducción debe alcanzarse en oxígeno o en combinación con una mezcla de óxido nitroso oxigenado. Un barbitúrico de acción corta u otro agente de inducción puede ser administrado seguido de la inhalación de sevoflurano. Los niveles quirúrgicos de anestesia pueden mantenerse con concentraciones de 0,5-3% de sevoflurano con o sin el uso concomitante de óxido nitroso. El tiempo de recuperación es generalmente corto.","Las principales reacciones adversas incluyen depresión cardiorrespiratoria dependiente de la dosis, náuseas, vómitos, hipotensión y bradicardia. Otros efectos colaterales menos frecuentes son agitación, somnolencia, escalofríos, vértigo, aumento de la salivación, desórdenes respiratorios, hipertensión, taquicardia, fiebre, aumento transitorio de la glucemia, de los niveles de flúor inorgánico y del conteo de glóbulos blancos.","En caso de hipotensión marcada, se recomienda corregir la concentración de sevoflurano inspirada. Se aconseja controlar la estabilidad de la hemodinámica para evitar isquemia del miocardio en pacientes con enfermedad coronaria. Debido a la falta de estudios clínicos suficientes, se aconseja administrar con precaución a pacientes con insuficiencia renal (creatinina en suero mayor que 1,5mg/dl) o con riesgo de hipertensión endocraneana, y en caso de ser necesario utilizar maniobras reductoras de ésta, tales como hiperventilación. Se recomienda informar al paciente sobre la posibilidad de sufrir pequeños cambios en el estado de ánimo y algunos otros síntomas que pueden persistir varios días después de la anestesia. Los pacientes deben ser advertidos de que realizar ciertas actividades que requieran de agilidad mental, tales como manejar vehículos motorizados o maquinaria peligrosa, podrían estar afectadas durante algún tiempo posterior a la anestesia general. Utilizar durante el embarazo y como anestésico durante la cesárea sólo en casos de extrema necesidad. No administrar a mujeres durante el período de lactancia. Tener en cuenta que la concentración promedio de sevoflurano para lograr una CAM en una persona de 80 años de edad es aproximadamente 50% de lo requerido por una persona de 20 años de edad. La anestesia con sevoflurano puede ocasionar un estado hipermetabólico del musculoesquelético en individuos susceptibles de mayor demanda de oxígeno y el síndrome clínico conocido como hipertermia maligna. Los síntomas más frecuentemente observados son hipercapnia, rigidez muscular, taquicardia, taquipnea, cianosis, arritmias y/o presión arterial inestable. El tratamiento de la hipertermia maligna incluye discontinuación de agentes causantes, administración de sodio dantrolene en forma intravenosa, aplicación de terapia de soporte y control de la función renal. Hasta el momento, no se han realizado estudios controlados que indiquen el efecto de sevoflurano sobre la reproducción, mutagénesis y teratogénesis.","No presenta interacciones significativas con la mayoría de los fármacos utilizados en situaciones quirúrgicas, tales como agentes para el sistema nervioso central, sustancias autonómicas, miorrelajantes, antibióticos, hormonas y sustitutos sintéticos, derivados de la sangre y sustancias cardiovasculares. La administración de sevoflurano es compatible con barbitúricos, benzodiazepinas y opiáceos. La concentración alveolar mínima (CAM) de sevoflurano disminuye cuando se administra en combinación con óxido nitroso; la reducción es de aproximadamente 50% en adultos y 25% en pacientes pediátricos. Sevoflurano modifica la intensidad y duración del bloqueo neuromuscular producido por relajantes musculares no despolarizantes. El uso de sevoflurano para suplementar anestesia con alfentanil-N2O potencia el bloqueo neuromuscular inducido con pancuronio, vecuronio o atracurio; se recomienda realizar un ajuste de dosis del relajante muscular. El efecto de sevoflurano con succinilcolina y la duración de bloqueo muscular despolarizante no ha sido estudiado. La disminución de dosis de agentes de bloqueo neuromuscular durante la inducción de anestesia puede resultar en demora de las condiciones para intubación traqueal o inadecuada relajación muscular debido a que la potenciación del agente de bloqueo neuromuscular se observa a pocos minutos del inicio de la administración de sevoflurano. En ausencia de guías específicas para la intubación endotraqueal, se aconseja no reducir la dosis de relajante muscular no despolarizante, mientras que durante el mantenimiento de anestesia, la dosis de miorrelajantes no despolarizantes es susceptible a ser reducida comparada con la dosis durante anestesia N2O/opiácea. La administración de dosis suplementarias de relajantes musculares debe ser guiada por la respuesta de estimulación nerviosa.",Pacientes con hipersensibilidad a la droga u otros agentes halogenados y aquellos pacientes con conocimiento o sospecha de susceptibilidad genética a hipertermia maligna.,"En caso de sobredosis, se recomienda discontinuar la administración de la droga, permeabilizar la vía aérea e iniciar una ventilación asistida y controlada con oxígeno y mantener una adecuada función cardiovascular.",SEVOCRIS; SEVOMAX; SEVORANE
Bencidamina,https://ar.prvademecum.com/principio-activo/bencidamina-582/,Antiinflamatorio.,"Es un derivado indazólico, emparentado químicamente con las pirazolonas, que presenta efectos analgésicos y antiinflamatorios pero de menor potencia farmacológica. Como ocurre con los agentes antiinflamatorios no esteroides, el mecanismo de acción es el común a todos ellos de inhibición enzimática de la ciclooxigenasa en la cascada biosintética de las prostaglandinas. Se administra por vía oral y se absorbe en forma rápida por la mucosa gastrointestinal; se difunde a la sangre y los tejidos, y parece eliminarse como tal por el riñón sin biotransformación conocida.","Patologías inflamatorias agudas o crónicas (traumáticas, reumáticas, laborales, deportivas).","La dosis media es de 50mg por vía oral tres veces por día (150mg/día). En patologías agudas o rebeldes se puede aumentar la dosis al doble 100mg cada 8 horas (300mg/día). Una vez que se dominaron los síntomas, se puede continuar con un mantenimiento mínimo de 25 a 50mg cada 12 horas.",,"No se aconseja su empleo durante el embarazo y la lactancia, a menos que el beneficio para la madre supere el riesgo potencial para el feto. En tratamientos prolongados es adecuado realizar controles hematológicos periódicos.",,Ulcera gastroduodenal activa. Hemorragia digestiva. Intolerancia o antecedentes de hipersensibilidad a los antiinflamatorios indálicos o indazólicos.,,ERNEX; ERNEX ROSA
Magnesio aspartato,https://ar.prvademecum.com/principio-activo/magnesio-aspartato-410/,,,,,,,,,,
Sambucus nigra,https://ar.prvademecum.com/principio-activo/sambucus-nigra-3273/,,,,,,,,,,
Amivantamab,https://ar.prvademecum.com/principio-activo/amivantamab-7450/,Anticuerpo biespecífico que se dirige contra los receptores del factor de crecimiento epidérmico (EGFR) y de la transición epitelial mesenquimal (MET).,"Amivantamab es un anticuerpo biespecífico que se une a los dominios extracelulares de EGFR y MET. Al hacerlo, interrumpe las funciones de señalización de estas proteínas bloqueando la unión de ligandos y aumentando su degradación, lo que impide el crecimiento y la progresión del tumor. También permite que las células inmunitarias, como los linfocitos citolíticos naturales y los macrófagos, destruyan las células tumorales. Propiedades farmacocinéticas: Absorción (formulación subcutánea): La biodisponibilidad es del 66,6 %, alcanzando la concentración máxima en una media de 3 días. Distribución: El volumen de distribución es de 5,12 litros para la formulación intravenosa y 5,69 litros para la subcutánea. Eliminación: El aclaramiento lineal es de 0,266 l/día y la semivida terminal es de 13,7 días para la formulación intravenosa. Para la formulación subcutánea, el aclaramiento lineal es de 0,224 l/día y la semivida terminal es de 18,8 días. Poblaciones especiales: No se requieren ajustes de dosis por edad, insuficiencia renal leve o moderada, ni insuficiencia hepática leve. Se debe tener precaución en pacientes con insuficiencia renal grave o insuficiencia hepática moderada o grave.","Está indicado para el tratamiento de pacientes adultos con cáncer de pulmón no microcítico (CPNM) avanzado con ciertas mutaciones del EGFR. Se utiliza en las siguientes situaciones: En combinación con lazertinib como tratamiento de primera línea para pacientes con CPNM avanzado con deleciones del exón 19 del EGFR o mutaciones L858R en el exón 21. En combinación con carboplatino y pemetrexed para pacientes con CPNM avanzado con mutaciones de inserción en el exón 20 del EGFR como tratamiento de primera línea, o para pacientes con deleciones del exón 19 o mutaciones L858R tras el fracaso de un tratamiento previo con un inhibidor de la tirosina cinasa (TKI) del EGFR. Como monoterapia para pacientes con CPNM avanzado con mutaciones de inserción en el exón 20 del EGFR, después del fracaso de una terapia basada en platino.","El tratamiento debe ser iniciado y supervisado por un médico con experiencia en el uso de medicamentos oncológicos. La dosis se basa en el peso corporal del paciente al inicio del tratamiento. Formulación Intravenosa (IV): Se administra semanalmente durante las primeras 4 semanas, y luego cada 2 o 3 semanas, dependiendo de la pauta. La primera dosis se administra de forma dividida en los días 1 y 2 de la primera semana. Dosis (cada 2 semanas): 1.050 mg (para  < 80 kg) o 1.400 mg (para ≥80 kg). Dosis (cada 3 semanas):  <  80 kg: 1.400 mg (semanas 1-4) y 1.750 mg (desde la semana 7). ≥ 80 kg: 1.750 mg (semanas 1-4) y 2.100 mg (desde la semana 7). Formulación Subcutánea (SC): Se administra semanalmente durante las primeras 4 semanas y luego cada 2 semanas. La inyección se realiza en el abdomen durante aproximadamente 5 minutos. Dosis: 1.600 mg (para  < 80 kg) o 2.240 mg (para ≥80 kg). Se requiere medicación previa (antihistamínicos, antipiréticos y glucocorticoides) antes de la administración para reducir el riesgo de reacciones relacionadas con la perfusión/administración.","Las reacciones adversas más frecuentes (RAM) reportadas con amivantamab, ya sea como monoterapia o en combinación, son: Muy frecuentes (≥1/10): Erupción cutánea, reacciones relacionadas con la perfusión/administración, toxicidad ungueal, hipoalbuminemia, edema, fatiga, estomatitis, náuseas, estreñimiento, apetito disminuido, diarrea y tromboembolismo venoso (con lazertinib). Frecuentes (≥1/100 a  < 1/10): Enfermedad pulmonar intersticial (EPI)/neumonitis y trastornos oculares como alteración visual y crecimiento de pestañas. Poco frecuentes (≥1/1.000 a  < 1/100): Queratitis, uveítis y necrólisis epidérmica tóxica (NET). Las reacciones adversas graves incluyen EPI, reacciones relacionadas con la perfusión (RRP), erupción cutánea, tromboembolismo venoso y trombocitopenia.","Reacciones relacionadas con la perfusión (RRP): Ocurren con frecuencia, sobre todo en la primera perfusión. Se requiere premedicación y la perfusión debe interrumpirse al primer signo de reacción. Enfermedad pulmonar intersticial (EPI): Se han notificado casos, algunos mortales. Se debe suspender el tratamiento si se sospecha de EPI y suspenderlo permanentemente si se confirma. Acontecimientos tromboembólicos venosos (TEV): Se han notificado al usarlo con lazertinib, incluidos casos mortales. Se recomienda profilaxis con anticoagulantes durante los primeros cuatro meses de tratamiento. Reacciones en la piel y las uñas: Son comunes la erupción cutánea, el prurito y la piel seca. Se debe limitar la exposición al sol y usar ropa protectora y protectores solares. Trastornos oculares: Se han reportado queratitis y otros problemas oculares. Se debe derivar a un oftalmólogo a los pacientes con empeoramiento de los síntomas oculares. Trazabilidad: Se debe registrar claramente el nombre y el número de lote del medicamento administrado.","No se han realizado estudios formales de interacciones farmacológicas. No se espera que las variaciones en las enzimas metabolizadoras de fármacos afecten a la eliminación de amivantamab, ni que este altere dichas enzimas. No se deben administrar vacunas vivas o vivas atenuadas durante el tratamiento.",Hipersensibilidad al amivantamab.,"No existe información específica sobre la sobredosis. En caso de sobredosis, se debe interrumpir el tratamiento, vigilar al paciente para detectar signos de efectos adversos e instituir medidas de apoyo adecuadas",RYBREVANT
Extracto de cannabis sativa,https://ar.prvademecum.com/principio-activo/extracto-cannabis-sativa-5235/,,,,,,,,,,
Sofosbuvir,https://ar.prvademecum.com/principio-activo/sofosbuvir-7055/,Antiviral.,"Es un inhibidor pangenotípico de la polimerasa de ARN dependiente del ARN NS5B del VHC para la replicación viral. Sofosbuvir es un profármaco nucleotídico que sufre metabolismo intracelular para formar el trifosfato análogo de la uridina farmacológicamente activo (GS-461203) que puede ser incorporado al ARN del VHC por la polimerasa NS5B actuando como terminador de cadena. Este agente antiviral mostró ser efectivo en sujetos con hepatitis C crónica (HCC) de genotipos 1 a 6. Luego de su administración oral se absorbe rápidamente independientemente de la dosis. Las comidas grasas enlentecen su tasa de absorción. Se metaboliza en el hígado para formar el trifosfato análogo de los nucleótidos activos. Su eliminación es por orina (80%), por heces (14%) y por aire espirado (2,5%). La vida media es de 0,4 horas y para el GS-331007 (el principal metabolito circulante inactivo) 27 horas.",Hepatitis C en adultos y mayores de 18 años asociado a la ribavirina (1000mg-2000mg cada 12 horas) durante 24 semanas en pacientes receptores de trasplante hepático.,Por vía oral 400mg una vez por día.,"Diarrea, vómitos, náuseas, cefalea, pérdida del apetito, mareos, tos, fiebre, escalofríos, insomnio, cansancio, exantema, mialgias.",No emplear como monoterapia. Vigilar la frecuencia cardíaca en sujetos que toman amiodarona por el riesgo de bradicardia y/o bloqueo cardíaco.,,"Hipersensibilidad al fármaco. Inductores potentes de la glucoproteína P (rifampicina, carbamazepina, fenobarbital, fenitoína, hierba de San Juan) ya que reducen significativamente los niveles plasmáticos del antiviral con la consiguiente disminución del efecto terapéutico. Embarazo y lactancia.",,EVALDIX; FERASIN; FOZVIR; HEPAGRIS
Inmunosupresores,https://ar.prvademecum.com/principio-activo/inmunosupresores-3877/,,,,,,,,,,
Vitamina B5,https://ar.prvademecum.com/principio-activo/vitamina-b5-3607/,,,,,,,,,,PANADERM B5
Bálsamo de Tolú,https://ar.prvademecum.com/principio-activo/b%C3%A1lsamo-tol%C3%BA-1435/,,,,,,,,,,PECTOBRON; REFENAX CARAMELOS EXPECTORANTES
Cobre sulfato,https://ar.prvademecum.com/principio-activo/cobre-sulfato-1952/,,,,,,,,,,DAYAMINERAL
Carboplatino,https://ar.prvademecum.com/principio-activo/carboplatino-815/,Antineoplásico.,"El carboplatino al igual que el cisplatino reacciona con el DNA celular formando uniones cruzadas intracelulares e intercelulares. Su mecanismo de acción parece ser similar al de los agentes alquilantes bifuncionales. Se metaboliza por una conversión no enzimática rápida a metabolitos inactivos. Se elimina por vía renal y puede detectarse en los tejidos durante 4 o más meses, después de su administración. Puede eliminarse mediante procedimientos dialíticos, pero solamente durante el término de las 3 horas posteriores a su administración.",Carcinoma de ovario de origen epitelial. Carcinoma de pulmón de células pequeñas. Carcinoma epidermoide de las vías aéreas y digestivas superiores.,"La administración se hace por infusión IV, a razón de 400mg/m2 en una única dosis; puede repetirse al cabo de 4 semanas. La infusión se prepara por dilución en solución acuosa de dextrosa a 5% o de cloruro de sodio a 0,9%, a la concentración de 0,5mg/ml, durante un período de 15 a 60 minutos.","Muchas reacciones adversas son inevitables y representan la acción farmacológica del medicamento. Trastornos gastrointestinales: náuseas y vómitos (25%). Su incidencia y gravedad se reducen con el empleo previo de antieméticos. Depresión de la médula ósea: trombocitopenia, leucopenia y anemia. Nefrotoxicidad. Ototoxicidad. Reacciones alérgicas.","En pacientes con insuficiencia renal, reducir las dosis y realizar monitoreos periódicos de la función renal y de los parámetros hematológicos. Cuando se administra con terapéutica inmunosupresora debe planearse con sumo cuidado para evitar el riesgo de efectos aditivos.","No debe administrarse junto con antibióticos aminoglucósidos u otros agentes nefrotóxicos, por el posible aumento de la toxicidad.","Hipersensibilidad al medicamento, a derivados del platino o al manitol. Insuficiencia renal grave (clearance de creatinina igual o inferior a 20ml/min). Depresión de la médula ósea. Embarazo.",,CARBOKEBIR; CARBOPLATINO FILAXIS; CARBOPLATINO GLENMARK; CARBOPLATINO IMA; CARBOPLATINO KEMEX; CARBOPLATINO LKM; CARBOPLATINO MICROSULES; CARBOPLATINO TUTEUR; CARBOPLATINO VARIFARMA; CARBOXTIE; 1; 2
Losartán,https://ar.prvademecum.com/principio-activo/losart%C3%A1n-3217/,Antihipertensivo.,"Es el primer derivado de una nueva generación de fármacos llamados ""antagonistas de la angiotensina II"" (ATII) que desarrolla un gradual y prolongado efecto sobre los valores sistodiastólicos de sujetos hipertensos. Se trata de una sustancia sintética de estructura química original -bifeniltetrazol-, de naturaleza no peptídica, que por su semejanza estructural compite con el receptor específico de la angiotensina II inhibiendo de esta manera su unión con este agonista endógeno. Su elevada afinidad y especificidad in vitro e in vivo sobre los receptores AT1 de la angiotensina II, localizados preferentemente en el músculo liso vascular y otras estructuras (miocardio, riñón, cerebro, suprarrenal), y su comportamiento como un antagonista puro sin efecto agonista parcial, lo destacan como un agente antihipertensivo eficaz y seguro. A diferencia de su predecesor, la saralasina (sólo para uso intravenoso en infusión continua), el losartán es activo por vía oral, en dosis de 50mg diarios en una toma única, por lo que es equipotente a 10mg de enalapril. Luego de su administración oral este derivado imidazólico bencilsustituido sufre una biotransformación hepática (efecto de primer paso) que reduce significativamente su absorción sistémica a un 33% y produce un metabolito activo, el ácido 5-carboxílico, de larga vida media, que contribuye a prolongar su acción antihipertensiva durante las 24 horas con una sola toma diaria, gracias a esta acción aditiva o de suma entre la droga y su metabolito activo. La vida media plasmática es de 2,3 horas para el losartán y de 6,7 horas para el metabolito activo (E-3174), en tanto que la proporción que se une a las proteínas es elevada ( > 99%). La absorción digestiva del fármaco no es afectada por la presencia de alimentos en el estómago; luego de la administración de una única dosis oral de 50mg alcanza el pico plasmático máximo a los 60 minutos, con un volumen de distribución de 34 litros, aproximadamente, sin que se observe fenómeno acumulativo con la administración continua y prolongada incluso en dosis elevadas (100mg). La excreción seguida con losartán marcado con 14C mostró un 35% de eliminación por la orina y un 58% por las heces. Los estudios clínicos doble ciego con losartán en pacientes con hipertensión esencial leve o moderada mostraron buena respuesta antihipertensiva sisto-diastólica en comparación con betabloqueantes (atenolol), diuréticos (hidroclorotiazida) y antagonistas del calcio. La tolerancia medicamentosa del losartán, como también su inocuidad y seguridad, fueron confirmadas por el uso crónico; se destaca la menor incidencia de tos (3%) en comparación con la registrada con los inhibidores de la ECA (10%). No se registró efecto rebote en los valores tensionales de pacientes hipertensos que redujeron o suspendieron el losartán.",Hipertensión arterial esencial leve a moderada. Insuficiencia cardíaca congestiva.,"La dosis media aconsejada es de 50mg en una toma única diaria. En sujetos añosos ( > 75 años) o con deterioro de la función hepática o renal se aconseja iniciar el tratamiento con 25mg. En sujetos hipertensos refractarios o no respondedores a la dosis habitual se puede llegar a 100mg diarios, pero no se lograron mejorías con dosis mayores.",,"Se aconseja emplear con precaución en pacientes con insuficiencia renal o hepática grave, estenosis de la arteria renal o antecedentes de alergia o hipersensibilidad. Se debe tener especial precaución al iniciar la terapia en pacientes con insuficiencia cardíaca, sujetos deshidratados o con depleción hidrosalina (uso de diuréticos, dietas hiposódicas estrictas) pues el losartán puede producir mayor hipotensión arterial. Se aconseja controlar periódicamente la potasemia en sujetos añosos o con trastornos de la función renal. En sujetos sometidos a cirugía mayor o durante la anestesia con drogas antihipertensivas, puede bloquear la ATII formada como consecuencia de la liberación compensadora de renina y la hipotensión resultante debe corregirse con expansores de volumen.","El empleo de diuréticos ahorradores de potasio puede incrementar la potasemia. No se han registrado interacciones significativas con el empleo simultáneo de antagonistas del calcio, betabloqueantes y diuréticos tiazídicos. La combinación con hidroclorotiazida puede potenciar la respuesta hipotensiva. La hemodiálisis no sirve para eliminar el losartán y su metabolito activo.",Niños. Embarazo y lactancia. Hipersensibilidad al losartán.,,ANTIPRESOL; CARTAN; CORTICOSAN; COZAAREX; ENROMIC; FENSARTAN; FENSARTAN CRONOS; FIBAN; FRABAN; HEADON 50; 1; 2; 3
Hesperidina metilcalcona,https://ar.prvademecum.com/principio-activo/hesperidina-metilcalcona-5112/,,,,,,,,,,AMINOCREM CONTORNO DE OJOS; CONTRACTIL; CONTRACTIL EXTRA PACK; NOLEN; VENART
Decitabina,https://ar.prvademecum.com/principio-activo/decitabina-6245/,Antineoplásico.,"Es un agente antitumoral que actúa como droga antineoplásica luego de su fosfoliración por intercalarse en el DNA e inhibir a la DNA metiltransferasa ocasionando hipometilación del DNA y diferenciación celular o apoptosis. Decitabina inhibe la metilación del DNA in vitro a concentraciones a las cuales no produce mayor alteración en la síntesis de DNA. La hipometilación que produce en las células neoplásicas puede restablecer la función normal de los genes que son importantes en el control de la diferenciación y proliferación celular. En las células de rápida división, la citotoxicidad de decitabina puede atribuirse a la formación de ductos covalentes entre la DNA metiltransferasa y la decitabina incorporada al DNA. Su unión a proteínas plasmáticas es despreciable ( < 1%) y la vía de eliminación y su metabolismo no se conocen.","Síndromes mielodisplásicos de todos los subtipos franceses-americanos-británicos (anemia refractaria, anemia refractaria con sideroblastos anillados, anemia refractaria con exceso de blastos, anemia refractaria con exceso de blastos en transformación, leucemia mielomonocítica crónica) y los grupos intermedio-1, intermedio-2 y alto riesgo del Sistema de Evaluación Pronóstica Internacional.","Dosis: 15mg/m2 administrada por infusión intravenosa continua durante 3 horas cada 8 horas por 3 días. Repetir el ciclo cada 6 semanas. Se recomienda que los pacientes sean tratados con un mínimo de 4 ciclos. Si los valores hematológicos (ANC ≥1.000/ml y plaquetas ≥50.000/ml) de un ciclo de tratamiento previo con decitabina requiere más de 6 semanas, el próximo ciclo debería retrasarse y la dosis temporalmente reducida según: recuperación que requiere más de 6 semanas pero menos de 8 semanas: la dosis a administrar debe retrasarse por más de 2 semanas y la dosis temporalmente reducida a 11mg/m2 cada 8 horas (33mg/m2/día, 99mg/m2/ciclo) hasta restablecer el tratamiento. Recuperación que requiere más de 8 semanas pero menos de 10 semanas: los pacientes deben ser controlados por el progreso de la enfermedad (aspirados de médula ósea); en ausencia de progresión, la dosis a administrar debe retrasarse por más de 2 semanas y la dosis temporalmente reducida a 11mg/m2 cada 8 horas (33mg/m2/día, 99mg/m2/ciclo) hasta restablecer el tratamiento; luego mantenerla o incrementarla en los ciclos subsiguientes. Si se observa algún efecto de toxicidad no hematológica, decitabina no debe ser administrada hasta que no se resuelva la toxicidad: 1) creatinina sérica (≥2mg/dl; 2) SGPT, bilirrubina total (≥2 veces ULN; y 3) infección activa o no controlada.","Los efectos adversos más frecuentes incluyen neutropenia, trombocitopenia, anemia, fatiga, pirexia, náusea, tos, petequias, constipación, diarrea e hiperglucemia.","Como el tratamiento está asociado a neutropenia y trombocitopenia, se recomienda realizar un hemograma completo previo a cada ciclo de administración. Según los valores hallados, se recomienda realizar ajustes de dosis. Tener en cuenta que la mielosupresión o un empeoramiento de la neutropenia puede ocurrir frecuentemente luego del primer y segundo ciclo de administración, sin que ello indique necesariamente progresión del síndrome mielodisplásico. Administrar con precaución en pacientes con deterioro renal y/o hepático.",Hasta el momento se desconocen.,Embarazo. Lactancia. Hipersensibilidad al fármaco.,"No se conoce antídoto. En caso de sobredosis, aplicar medidas de soporte.",CRIBINA; DETAVI; SIGNUM
