nombre_producto,url,nombre_laboratorio,descripcion,composicion,indicaciones,presentacion,principios_activos,patologias,error
CRAVERIL XR,https://ar.prvademecum.com/medicamento/craveril-xr-25109/,ROEMMERS,Normolipemiante.,"CRAVERIL XR cápsulas de liberación prolongada de 45 mg. Cada cápsula con microgránulos contiene: Ácido Fenofíbrico 45,00 mg (como fenofibrato de Colina 59,58 mg). Excipientes cs. CRAVERIL XR cápsulas de liberación prolongada de 135 mg. Cada cápsula con microgránulos contiene: Ácido Fenofíbrico 135,00 mg (como fenofibrato de Colina 178,70 mg). Excipientes cs.","1. Co-administración con estatinas para el tratamiento de la dislipidemia mixta. CRAVERIL XR está indicado como terapia adjunta a la dieta en combinación con una estatina para reducir los niveles elevados de triglicéridos (TG) e incrementar el colesterol DHL (HDL-C) en pacientes con dislipidemia mixta y enfermedad arterial coronaria (EAC) o equivalentes de riesgo de EAC que ya estén en tratamiento óptimo con estatinas para lograr sus objetivos de colesterol LDL (LDL-C). Los equivalentes de riesgo de EAC comprenden: Otras formas clínicas de enfermedad aterosclerótica (enfermedad arterial periférica, aneurisma de aorta abdominal, enfermedad de la arteria carótida sintomática); Diabetes; Múltiples factores de riesgo que confieren un riesgo a 10 años para EAC mayor al 20%. 2. Tratamiento de la hipertrigliceridemia severa. CRAVERIL XR está indicado como terapia adjunta a la dieta para reducir los niveles elevados de triglicéridos (TG) en pacientes con hipertrigliceridemia severa. La mejoría del control glucémico en pacientes diabéticos que presentan quilomicronemia en ayunas habitualmente hace innecesaria la intervención farmacológica. Niveles marcadamente elevados de triglicéridos séricos (ej. más de 2000 mg/dl) pueden incrementar el riesgo para desarrollar pancreatitis. Los efectos de CRAVERIL XR sobre la reducción de este riesgo no han sido adecuadamente estudiados. 3. Tratamiento de la hiperlipidemia primaria o dislipidemia mixta. CRAVERIL XR está indicado como terapia adjunta a la dieta para reducir los niveles elevados de LDL-C, colesterol total (CT), TG, y apolipoproteína B (Apo B) y para incrementar el HDL-C en pacientes con hiperlipidemia primaria o dislipidemia mixta. 4. Limitaciones de uso. No se ha establecido ningún incremento del beneficio del uso de CRAVERIL XR sobre la mortalidad y morbilidad cardiovascular más allá del demostrado para la monoterapia con estatinas. 5. Consideraciones generales de tratamiento. El fenofibrato en dosis equivalentes a 135 mg de CRAVERIL XR no ha demostrado reducir la morbimortalidad por enfermedad arterial coronaria en un estudio grande, aleatorizado y controlado, en pacientes con diabetes mellitus tipo 2. Antes de comenzar el tratamiento con CRAVERIL XR deberán realizarse estudios de laboratorio para determinar si el nivel de lípidos es anormal. Deberán realizarse todos los intentos razonables para controlar los lípidos plasmáticos con métodos no farmacológicos que incluyan una dieta apropiada, ejercicio, reducción de peso en pacientes obesos y control de cualquier otro problema médico como diabetes e hipotiroidismo que pudieran estar contribuyendo con las anormalidades lipídicas. Los medicamentos conocidos por exacerbar la hipertrigliceridemia (betabloqueantes, tiazidas, estrógenos) deberán ser discontinuados o cambiados de ser posible, así como controlarse la excesiva ingesta de alcohol antes de considerar un tratamiento con drogas que disminuyan el nivel de triglicéridos. Si se tomara la decisión de utilizar un hipolipemiante, el paciente debería ser instruido sobre el hecho de que ello no reduce la importancia de seguir una dieta adecuada. El tratamiento farmacológico no está indicado para pacientes que tienen elevaciones de quilomicrones y triglicéridos plasmáticos, pero que tienen niveles normales de VLDL.",CRAVERIL XR cápsulas de liberación prolongada 45 mg: Envases conteniendo 30 cápsulas de liberación prolongada. CRAVERIL XR cápsulas de liberación prolongada 135 mg: Envases conteniendo 30 cápsulas de liberación prolongada.,Fenofíbrico ácido,Hipercolesterolemias - Dislipidemias,
CRAVETOL,https://ar.prvademecum.com/medicamento/cravetol-25225/,CRAVERI,Letrozol. Inhib. de la aromatasa. Trat. del cáncer de mama. 2.5mg Comp. Rec. x 30.,,,,Letrozol,Cáncer,
CRAXABAN,https://ar.prvademecum.com/medicamento/craxaban-31155/,CRAVERI,Apixabán. Anticoagulante. 2.5mg Comp. Rec. x 60. 5mg Comp. Rec. x 60.,,,,Apixabán,Tromboembolismo y trombosis,
CREATINA STIKS,https://ar.prvademecum.com/medicamento/creatina-stiks-30973/,ISA,Creatina. Suplemento dietario. Sobres x 30.,,,,Creatina,,
CREMA DE BISMUTO CEVALLOS,https://ar.prvademecum.com/medicamento/crema-bismuto-cevallos-21742/,FRASCA,Bismuto hidróxido. Pectina. Antidiarreico. Oral Susp. x 90ml.,,,,Bismuto hidróxido; Pectina,Diarreas,
CREMA DE BISMUTO CHOBET CON PECTINA,https://ar.prvademecum.com/medicamento/crema-bismuto-chobet-con-pectina-1068/,S.CHOBET,Protector y adsorbente intestinal. Antidiarreico. Antiulceroso.,"Bismuto, gel de hidróxido equivalente a 3g de bismuto metálico, pectina 750mg.",Protector de la mucosa gastrointestinal. Cura la diarrea sin dañar. Ver también: Bismuto Chobet Comprimidos como antiulceroso (Helicobacter pylori).,"Env. con 90 ml con dosificador fantasía, 120 ml y 240 ml.",Bismuto hidróxido; Pectina,Diarreas,
CREMA DE BISMUTO LAFEDAR,https://ar.prvademecum.com/medicamento/crema-bismuto-lafedar-19249/,LAFEDAR,"Antidiarreico. Adsorbente intestinal. Tópico protector de la mucosa gastrointestinal. Combinada con antibiótico, son utilizados para el tratamiento de la ulcera gastroduodenal causada por Helicobacter Pyfori.",Cada 100ml de Suspensión Oral: Bismuto (como gel de Hidróxido de Bismuto) 3 g. Excipientes c.s.,"Tratamiento de la diarrea infecciosa. En aquellos casos que se requiera, puede estar asociada a una terapia antibiótica específica.","Envase conteniendo 60 ml, 90 ml y 120 ml.",Bismuto; Pectina,Diarreas,
CREMA DE CALENDULA EWE,https://ar.prvademecum.com/medicamento/crema-calendula-ewe-18757/,SANITAS,Caléndula extracto. Protector dérmico. Crema x 60g.,,,,Caléndula extracto,"Piel, protectores",
CREMA DE ORDEÑE NORT,https://ar.prvademecum.com/medicamento/crema-ordeñe-nort-14652/,NORT,Hidratante. Nutriente dérmico.,Aloe vera. Vitaminas A y E.,"Nort, la empresa creadora de la original Crema de Ordeñe, incorpora a su formula componente Anti Age que previenen la formación de radicales libres, impidiendo el envejecimiento prematuro de la piel.",Pote x 150g. Pomo x 200g.,Alfa tocoferol; Aloe vera; Vitamina A,"Piel, protectores",
CREMOQUINONA CICATRICES,https://ar.prvademecum.com/medicamento/cremoquinona-cicatrices-31357/,PHARMADORF,Caléndula extracto. Silicio. Trat. de cicatrices. 5% Env. x 30g.,,,,Caléndula extracto; Silicio,,
CREMOQUINONA DIA,https://ar.prvademecum.com/medicamento/cremoquinona-dia-31712/,PHARMADORF,Undecilenoil fenilalanina. Despigmentante. Env. x 30g.,,,,Undecilenoil fenilalanina,,
CREON 10000,https://ar.prvademecum.com/medicamento/creon-10000-11105/,ABBOTT EPD,Sustitutivo enzimático pancreático.,"Cada cápsula con microesferas gastrorresistentes contiene: Pancreatina (polvo de páncreas: Amilasa 8.000, Lipasa 10.000 y Proteasa total 600 U. de F Eur.) 150,00 mg. Macrogol 4000, 37,50 mg; Ftalato de Hipromelosa, 56,34 mg; Alcohol Cetílico, 1,18 mg; Citrato de Trietilo, 3,13 mg; Dimetlcona 1000, 1,35 mg. Composición de la cápsula: Gelatina, 60,44mg; Óxido de hierro (III) E 172, 0,23mg; Hidróxido de Hierro (III) E 172, 0,05 mg; Óxido de hierro (II.III) E 172, O,09 mg; Dióxido de titanio, 0,07 mg; Dodecilsulfato de Sodio, 0,12 mg.","Tratamiento de la insuficiencia pancreática exocrina en pacientes pediátricos y adultos. La insuficiencia pancreática exocrina está asociada con frecuencia, pero no limitada a: fíbrosis quística; pancreatitis crónica; cirugía pancreática; gastrectomía; cáncer pancreático; cirugía de derivación gastrointestinal (p. ej., gastroenterostomía tipo Billroth II); obstrucción de los conductos pancreáticos o del conducto biliar común (p. ej., por neoplasia); síndrome de Shwachman-Diamond; estado después de un ataque de pancreatitis aguda e inicio de alimentación enteral u oral.","Envases con 20, 50 Y 100 cápsulas, las últimas para Uso Hospitalario.",Pancreatina,Insuficiencia hepatovesicular y pancreática,
CREON 25000,https://ar.prvademecum.com/medicamento/creon-25000-9303/,ABBOTT EPD,Sustitutivo enzimático pancreático.,"Cada cápsula con microesferas gastrorresistentes contiene: Pancreatina (polvo de páncreas: Amilasa: 18.000 U. de F. Eur., Lipasa: 25.000 U. de F. Eur., Proteasa 1.000 U. de F. Eur.) 300,00 mg. Excipientes: Macrogol 4000, 75,00 mg; Ftalato de Hipromelosa 112,68 mg; Alcohol etílico 2,37 mg; Citrato de Trietilo 6,26 mg; Dimeticona 1000, 2,69 mg. Composición de la cápsula: Gelatina, 95,08 mg; Óxido de Hierro (111) E172, 0,46 mg; Hidróxido de Hierro (III) E 172, 0,08 mg; Dióxido de Titanio, 0, 19 mg; Dodecilsulfato de sodio, 0.19 mg.","Tratamiento de la insuficiencia pancreática exocrina en pacientes pediátricos y adultos. La insuficiencia pancreática exocrina está asociada con frecuencia, pero no limitada a: fibrosis quística; pancreatitis crónica; cirugla pancreática; gastrectomía; cáncer pancreático; cirugía de derivación gastrointestinal (p. ej., gastroenterostomía tipo Billroth II; obstrucción de los conductos pancreáticos o del conducto biliar común (p. ej., por neoplasia); síndrome de Shwachman-Diamond; estado después de un ataque de pancreatitis aguda e inicio de alimentación enteral u oral.",Envases con 50 y 100 cápsulas.,Pancreatina,Insuficiencia hepatovesicular y pancreática,
CREON 5000,https://ar.prvademecum.com/medicamento/creon-5000-27716/,ABBOTT EPD,Sustitutivo enzimático pancreático.,"Creon 5000: Cada cuchara medidora (100mg) de microesferas gastrorresistentes contiene: Pancreatina (Amilasa 3.600 U, Lipasa 5.000, Proteasa 200 U de Farmacopea Europea) 60,12 mg; Macrogol 4000, 15,03 mg; Ftalato de hipromelosa, 22,58 mg; Alcohol cetilico, 0,48 mg; Citrato de trietilo, 1,25 mg; Dimeticona 1000, 0,54 mg. Creon 40000: Cada capsula con microesferas gastrorresistentes contiene: Pancreatina (Amilasa 25.000, Lipasa 40.000 y Proteasa total 1.600 U. de Farmacopea Europea), 400mg; Macrogol 4000, 100,00 mg; Ftalato de hipromelosa, 150,24 mg; Alcohol cetílico, 3,16 mg; Citrato de trietilo, 8,34 mg; Dimeticona 1000, 3,59 mg - composición de la capsula: Gelatina, 116,92 mg; Óxido de hierro (III) E172, 0,44 mg; Hidróxido de Hierro (III) E172, 0,10 mg; Óxido de hierro (II, III) E172, 0,17 mg; Dioxido de titanio, 0,13 mg; Dodecilsulfato de sodio, 0,24 mg.Principio activo: pancreatina de origen porcino.",Trastornos de la función pancreática exocrina asociados con una mala digestión. En pacientes con fibrosis quística para apoyar una función insuficiente del páncreas.,"Creon 5000: Envases con 1 frasco 20 gramos y 5 frascos x20 gramos, siendo la última para uso hospitalario. Creon 40000: Envases con 50, 100, 200 y 8 envases con 50 cápsulas, siendo la última para Uso Hospitalario.",Pancreatina,Insuficiencia hepatovesicular y pancreática,
CREOSEDÍN®,https://ar.prvademecum.com/medicamento/creosedin-1073/,RONTAG,Ansiolítico.,Cada comprimido de CREOSEDÍN® 3 mg contiene: Bromazepam 3 mg. Excipientes: Avicel® PH 101; lactosa Tabletosse®; talco puro chino; Ac-Di-Sol®; eritrosina laca alumínica; estearato de magnesio. Cada comprimido de CREOSEDÍN® 6 mg contiene: Bromazepam 6 mg. Excipientes: Avicel® PH 101; lactosa Tabletosse®; talco puro chino; Ac-Di-Sol®; óxido de hierro amarillo; indigotina laca alumínica 44%; estearato de magnesio.,"Trastornos de la Ansiedad (DSM IV). Las benzodiazepinas sólo están indicadas cuando el trastorno es severo, incapacitante o somete al individuo a angustia extrema.",CREOSEDIN® 3 y 6 mg: Envases conteniendo 20 y 50 comprimidos.,Bromazepam,Ansiedad,
CRESEMBA,https://ar.prvademecum.com/medicamento/cresemba-27685/,BIOTOSCANA,Isavuconazol. Antifúngico. 100mg Caps. x 14.,,,,Isavuconazol,Infecciones micóticas sistémicas,
CRESEMBA,https://ar.prvademecum.com/medicamento/cresemba-30841/,LKM,Isavuconazol. Antifúngico. 200mg F.Amp. x 1.,,,,Isavuconazol,Infecciones micóticas sistémicas,
CRESTOR®,https://ar.prvademecum.com/medicamento/crestor-14910/,ASTRAZENECA,Inhibidor de la HMG-CoA reductasa.,Cada comprimido recubierto de CRESTOR® 5 mg contiene: Rosuvastatina 5 mg (como Rosuvastatina cálcica). Excipientes: Lactosa monohidrato; Celulosa microcristalina; Fosfato de calcio; Crospovidona; Estearato de magnesio; Hidroxipropilmetilcelulosa; Triacetato de glicerilo; Dióxido de titanio; Oxido de hierro amarillo. Cada comprimido recubierto de CRESTOR® 10 mg contiene: Rosuvastatina 10 mg (como Rosuvastatina cálcica). Excipientes: Lactosa monohidrato; Celulosa microcristalina; Fosfato de calcio; Crospovidona; Estearato de magnesio; Hidroxipropilmetilcelulosa; Triacetato de glicerilo; Dióxido de titanio; Oxido de hierro rojo. Cada comprimido recubierto de CRESTOR® 20 mg contiene: Rosuvastatina 20 mg (como Rosuvastatina cálcica). Excipientes: Lactosa monohidrato; Celulosa microcristalina; Fosfato de calcio; Crospovidona; Estearato de magnesio; Hidroxipropilmetilcelulosa; Triacetato de glicerilo; Dióxido de titanio; Oxido de hierro rojo. Cada comprimido recubierto de CRESTOR® 40 mg contiene: Rosuvastatina 40 mg (como Rosuvastatina cálcica). Excipientes: Lactosa monohidrato; Celulosa microcristalina; Fosfato de calcio; Crospovidona; Estearato de magnesio; Hidroxipropilmetilcelulosa; Triacetato de glicerilo; Dióxido de titanio; Oxido de hierro rojo.,"Hiperlipidemia y dislipidemia mixta: CRESTOR® está indicado como terapia adyuvante a la dieta para reducir el C-total, LDL-C, ApoB, no HDL-C y triglicéridos elevados y para incrementar el HDL-C en pacientes adultos con hiperlipidemia primaria o dislipidemia mixta. Pacientes Pediátricos de 10 a 17 años de edad con Hipercolesterolemia Familiar Heterocigota (HeFH): CRESTOR® está indicado como complemento de la dieta para reducir el Colesterol total, LDL-C y los niveles de Apo B en adolescentes de sexo masculino y femenino (que se encuentran por lo menos 1 año después de la menarca), de 10 - 17 años de edad con hipercolesterolemia familiar heterocigota, si después de un ensayo adecuado con dieta, los siguientes resultados están presentes: LDL-C > 190 mg/dl o > 160 mg/dl y hay antecedentes familiares positivos de enfermedad cardiovascular (ECV) prematura o dos o más de otros factores de riesgo de ECV. Hipertrigliceridemia: terapia adyuvante a la dieta para el tratamiento de pacientes adultos con hipertrigliceridemia. Disbetalipoproteinemia primaria (Hiperlipoproteinemia Tipo III): como adyuvante de la dieta para el tratamiento de pacientes con disbetalipoproteinemia primaria (Hiperlipoproteinemia Tipo III). Hipercolesterolemia familiar homocigótica: terapia adyuvante a otros tratamientos para la reducción de los lípidos o solo si dichos tratamientos no están disponibles para reducir el LDL-C, Colesterol total y Apo B en pacientes adultos con hipercolesterolemia familiar homocigota. Retraso de la progresión de la aterosclerosis: CRESTOR® está indicado como tratamiento adyuvante a la dieta para retrasar la progresión de la aterosclerosis en pacientes adultos como parte de una estrategia de tratamiento para reducir el Colesterol total y LDL-C a niveles objetivo. Prevención primaria de eventos cardiovasculares: En individuos sin evidencia clínica de enfermedad coronaria pero con riesgo incrementado de enfermedad cardiovascular basado en la edad, PCR ≥ 2 mg/L, y la presencia de por lo menos un factor de riesgo cardiovascular, CRESTOR® está indicado para: reducir el riesgo de infarto de miocardio, accidente cerebrovascular, angina inestable y revascularización miocárdica. Limitaciones de uso: No se estudió CRESTOR® en dislipidemias Tipo I y V de Fredrickson.",CRESTOR® 5 mg: Envases con 28 comprimidos recubiertos; CRESTOR® 10 mg: Envases con 28 y 56 comprimidos recubiertos; CRESTOR® 20 mg: Envases con 28 y 56 comprimidos recubiertos; CRESTOR® 40 mg: Envases con 28 comprimidos recubiertos.,Rosuvastatina,Hipercolesterolemias - Dislipidemias,
CRIALIX,https://ar.prvademecum.com/medicamento/crialix-16581/,SIEGFRIED,Donepecilo. Inhib. de la acetilcolinesterasa. 5mg Comp. x 30. 10mg Comp. x 30.,,,,Donepecilo,"Alzheimer, enfermedad de",
CRIBINA,https://ar.prvademecum.com/medicamento/cribina-24381/,ASPEN,Agente Antineoplásico.,"Cada frasco ampolla de polvo liofilizado contiene: Decitabina 50 mg, Fosfato monobásico de potasio 68 mg, Hidróxido de sodio c.s.p. pH 6,7-7,3.","CRIBINA está indicado para el tratamiento de pacientes con síndromes mielodisplásicos (MDS) que incluyen todos los subtipos Franceses-Americanos-Británicos de MDS de novo y secundarios previamente tratados o no tratados (anemia refractaria, anemia refractaria con sideroblastos en anillo, anemia refractaria con exceso de blastos, anemia refractaria con exceso de blastos en transformación, y leucemia mielomonocítica crónica) y grupos intermedio-1, intermedio-2, y de alto riesgo del Sistema Internacional de Puntuaciones de Pronósticos (IPSS).",Envase con 1 frasco ampolla.,Decitabina,Cáncer,
CRIBOROL®,https://ar.prvademecum.com/medicamento/criborol-29384/,LAZAR,Trat. del eccema atópico.,"Cada 100 g de CRIBOROL® ungüento contiene: Crisaborol 2g. Excipientes: Propilenglicol, butilhidroxitolueno, monoestearato de glicerilo, parafina, EDTA disódico, vaselina sólida.",CRIBOROL® está indicado para el tratamiento tópico de la dermatitis atópica leve a moderada en pacientes de 2 años o más.,CRIBOROL®: Pomo de 30g.,Crisaborol,Dermatitis atópica,
CRIMA,https://ar.prvademecum.com/medicamento/crima-6952/,FADA PHARMA,Ceftazidima. Antibiótico. 1g F.Amp. x 100 EH.,,,,Ceftazidima,Infecciones bacterianas sistémicas,
CRINONE 8%,https://ar.prvademecum.com/medicamento/crinone-8--11152/,MERCK,Progestagenoterapia de uso tópico.,"Cada 100 g de gel vaginal contiene: Progesterona 8,000 g. Glicerina 12,900 g. Aceite mineral liviano 4,200 g. Aceite de coco hidrogenado 1,000 g. Carbómero 974 P 1,000 g. Acido sórbico 0,080 g. Policarbofil 2,000 g. Hidróxido de sodio c.s., Agua Purificada 70,820 g.",Crinone 8% se encuentra indicado como suplemento o reemplazo de progesterona como parte de un tratamiento de TRA (tecnología de reproducción asistida) en mujeres infértiles con deficiencia de progesterona.,"El gel vaginal viene cargado en aplicadores vaginales de polietileno para un único uso, provistos de una tapa de rosca, cada uno sellado en un envoltorio de hoja de resina ionomérica/aluminio/papel. Cada aplicador contiene 1,45 g del gel vaginal pero administra una dosis controlada de 1,125 g del gel vaginal. El producto viene en cajas de 6 ó 15 aplicadores descartables, cada uno para una única dosis.",Progesterona,Mastopatías,
CRISABON®,https://ar.prvademecum.com/medicamento/crisabon-5106/,TUTEUR,Antineoplásico.,CRISABON® 50 mg polvo liofilizado: Cada frasco-ampolla contiene: Clorhidrato de Epirrubicina 50 mg. Excipientes.,"CRISABON® está indicado en el tratamiento del carcinoma de mama con criterio adyuvante, para la enfermedad localmente avanzada y/o metastásica, linfoma no-Hodgkin, Enfermedad de Hodgkin, sarcoma de tejidos blandos, carcinoma gástrico, carcinoma de hígado, carcinoma de páncreas, carcinoma de cabeza y cuello, carcinoma de pulmón, carcinoma ovárico y leucemia aguda linfoblástica. CRISABON® está indicado también en el tratamiento de tumores vesicales superficiales (carcinoma de células transicionales, carcinoma in situ) y profilaxis de la recaída de tumores vesicales superficiales luego de una resección transuretral completa.",CRISABON® 50 mg: Envase con 1 frasco-ampolla de 50 mg de polvo liofilizado.,Epirrubicina,Cáncer,
CRISAPLA 50 y 100,https://ar.prvademecum.com/medicamento/crisapla-9571/,LKM,Antineoplásico.,Inyectable 100 mg: Cada frasco-ampolla contiene: Oxaliplatino 100 mg. Excipientes c.s.,"El oxaliplatino, en combinación con 5-fluorouracilo (5-FU) y leucovorina, está indicado en tratamiento adyuvante del cáncer de colon estadío III, tras la resección completa del tumor primario y del cáncer colorrectal metastásico.",Inyectable 100 mg: Envase conteniendo 1 frasco-ampolla.,Oxaliplatino,Cáncer,
CRISOFIMINA®,https://ar.prvademecum.com/medicamento/crisofimina-10264/,TUTEUR,Agente antineoplásico.,CRISOFIMINA® 20 mg polvo liofilizado: Cada frasco-ampolla contiene: Mitomicina C 20 mg; Excipientes.,"CRISOFIMINA® no está recomendada como agente único para terapia primaria. CRISOFIMINA® ha demostrado ser útil en la terapia de adenocarcinoma diseminado de estómago, páncreas y tumores de vejiga, adenocarcinoma colorrectal, adenocarcinoma de cabeza y cuello, adenocarcinoma biliar y adenocarcinoma cervical, en combinaciones probadas con otros agentes quimioterapéuticos y como tratamiento paliativo cuando otras modalidades han fallado. CRISOFIMINA® no está recomendada para reemplazar cirugía apropiada y/o radioterapia.",CRISOFIMINA® 20 mg: Envase con 1 frasco-ampolla de 20 mg de polvo liofilizado.,Mitomicina,Cáncer,
CRISPLUS®,https://ar.prvademecum.com/medicamento/crisplus-18359/,ELEA,Tratamiento contra la obesidad.,Cada cápsula contiene: orlistat 60mg. Excipientes.,"Tratamiento a largo plazo, junto a una dieta hipocalórica moderada, de pacientes obesos o con sobrepeso, incluidos los que presentan factores de riesgo asociados con la obesidad. Control a largo plazo del peso (reducción, mantenimiento y prevención del aumento de peso). El tratamiento conduce a la mejoría de los factores de riesgo y de los trastornos asociados con la obesidad, como hipercolesterolemia, diabetes mellitus no insulinodependiente, intolerancia a la glucosa, hiperinsulinemia e hipertensión, así como a una reducción de las grasas viscerales.",Envases conteniendo 30 y 60 cápsulas.,Orlistat,Obesidad,
CRISTACLAR,https://ar.prvademecum.com/medicamento/cristaclar-11094/,BETA,Inhib. reversible de acetilcolinesterasa.,"Cada comprimido recubierto de 5mg contiene: clorhidrato de donepecilo 5mg, excipientes cs. Cada comprimido recubierto de 10mg contiene: clorhidrato de donepecilo 10mg, excipientes cs.",Tratamiento de la demencia leve a moderada del tipo Alzheimer.,Env. con 30 comp. rec.,Donepecilo,"Alzheimer, enfermedad de",
CROCINON,https://ar.prvademecum.com/medicamento/crocinon-1080/,CRAVERI,Anastrozol. Inhib. de la aromatasa. Comp. x 28.,,,,Anastrozol,Cáncer,
CRONO CORTICAS,https://ar.prvademecum.com/medicamento/crono-corticas-20680/,CASASCO,Corticoesteroide de acción rápida y prolongada.,"Cada frasco ampolla x 2ml contiene: betametasona (como dipropionato), 10,000mg; betametasona (como fosfato disódico), 4,000mg. Excipientes: c.s.","Corticoterapia sistémica o local, de acción inmediata y prolongada durante 30 días.",Env. con 1 frasco ampolla con 2ml + 1 jeringa con aguja descartable.,Betametasona dipropionato + fosfato disódico,Asma bronquial; Alergia; Colitis ulcerosa; Colagenopatías; Enfermedades inflamat. osteomioarticulares; Fiebre reumática,
CRONOBETACORT,https://ar.prvademecum.com/medicamento/cronobetacort-21297/,MEDISOL,Corticosteroide de acción rápida y prolongada.,"Cada frasco ampolla de 2ml contiene: betametasona (como dipropionato) 10mg, betametasona (como fosfato disódico) 4mg.","Patologías osteoarticulares que requieren corticoterapia sistémica o por infiltración local (tendinitis, tenosinovitis, bursitis, cervicalgias, lumbalgias, lumbociatalgias). Patologías alérgicas o antiinflamatorias de las vías aéreas superior e inferior. Dermatitis: inflamatorias o alérgicas.",Envases con 1 frasco ampolla de 2ml.,Betametasona dipropionato + fosfato disódico,Asma bronquial; Alergia; Colitis ulcerosa; Colagenopatías; Enfermedades inflamat. osteomioarticulares; Fiebre reumática,
CRONOCORTEROID®,https://ar.prvademecum.com/medicamento/cronocorteroid-4970/,MONTPELLIER,"Inyectable en suspensión - Frasco ampolla.
Betametasona (como dipropionato). Betametasona (como fosfato disódico).","Cada frasco-ampolla de 2ml contiene: betametasona (como dipropionato) 10mg, betametasona (como fosfato disódico) 4mg, excipientes csp.","Patologías musculoesqueléticas que requieran corticoterapia sistémica o por infiltración local (tendinitis, tenosinovitis, bursitis, cervicalgias, lumbalgias, lumbociatalgias). Patologías alérgicas o inflamatorias del aparato respiratorio superior e inferior. Dermatitis inflamatorias o alérgicas.",Frasco-ampolla: envase con 1 fco. amp. de 2ml. con jeringa y aguja y aguja descartable.,Betametasona dipropionato + fosfato disódico,Asma bronquial; Alergia; Colitis ulcerosa; Colagenopatías; Enfermedades inflamat. osteomioarticulares; Fiebre reumática,
CRONODICASONE,https://ar.prvademecum.com/medicamento/cronodicasone-20202/,BALIARDA,Antiinflamatorio esteroide.,"Cada ml contiene: betametasona acetato (equivalente a 2,7mg de betametasona base) 3,0mg. Betametasona fosfato disódico (equivalente a 3,0mg de betametasona base) 3,9mg.","Tratamiento sistémico y local de afecciones agudas y crónicas que justifican el tratamiento con un glucocorticoide, siendo de especial utilidad cuando la administración oral es impracticable y en particular en las siguientes afecciones: afecciones reumáticas: como tratamiento coadyuvante a corto plazo durante procesos agudos o exacerbaciones de las siguientes enfermedades: osteoartritis post-traumática, sinovitis de la osteoartritis, artritis reumatoidea, bursitis aguda y subaguda, epicondilitis, tenosinovitis no específica aguda, miositis, fibrositis, tendinitis, artritis gotosa aguda, artritis psoriásica, síndrome doloroso lumbar, lumbago, ciática, tortícolis, quiste sinovial. Colagenosis: durante la exacerbación o como tratamiento de mantenimiento de ciertos casos de lupus eritematoso sistémico, esclerodermia, dermatomiositis. Afecciones alérgicas: como tratamiento adyuvante en los estados de mal asmático y reacciones de hipersensibilidad medicamentosa o a picaduras de insectos. En estados alérgicos severos e incapacitantes refractarios al tratamiento convencional, en particular procesos alérgicos o exacerbaciones de las siguientes enfermedades: rinitis alérgica estacional o perenne, asma bronquial crónica, bronquitis alérgica severa, dermatitis atópica, dermatitis de contacto. Afecciones dermatológicas: lesiones inflamatorias hipertróficas localizadas de liquen plano, placas psoriásicas, granuloma anular y liquen simple crónico (neurodermatitis), queloides, lupus eritematoso discoide, necrobiosis lipoidea de los diabéticos, alopecia areata. Afecciones del pie: bursitis; espolón calcáneo; quiste sinovial; tenosinovitis; periostitis del cuboides; artritis gotosa aguda; metatarsalgia. Afecciones neoplásicas: tratamiento paliativo de leucemias y linfomas en el adulto y leucemia aguda en el niño. Prevención del síndrome de dificultad respiratoria en neonatos prematuros.",Envase con 1 frasco-ampolla de 2ml y una jeringa descartable estéril y apirógena.,Betametasona acetato + fosfato disódico,Asma bronquial; Alergia; Artrosis - Reumatismo; Colitis ulcerosa; Colagenopatías; Enfermedades inflamat. osteomioarticulares; Edema cerebral; Fiebre reumática; Shock anafiláctico,
